# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
     501 2.152e-05 2.564e-05 2.222e-05 8.804e-07
     631 2.803e-05 3.247e-05 2.876e-05 9.072e-07
     794 3.641e-05 4.215e-05 3.728e-05 1.067e-06
    1000 4.643e-05 6.048e-05 4.845e-05 2.582e-06
    1259 6.000e-05 7.485e-05 6.180e-05 2.389e-06
    1585 7.836e-05 9.019e-05 8.094e-05 2.374e-06
    1995 1.009e-04 1.352e-04 1.049e-04 5.487e-06
    2512 1.300e-04 1.506e-04 1.331e-04 3.835e-06
    3162 1.677e-04 2.114e-04 1.730e-04 9.784e-06
    3981 2.174e-04 2.595e-04 2.242e-04 8.611e-06
    5012 2.797e-04 3.258e-04 2.868e-04 1.168e-05
    6310 3.604e-04 4.230e-04 3.692e-04 1.389e-05
    7943 4.660e-04 5.205e-04 4.764e-04 1.503e-05
   10000 6.008e-04 6.673e-04 6.149e-04 1.747e-05
   12589 7.756e-04 8.688e-04 7.989e-04 2.261e-05
   15849 1.003e-03 1.119e-03 1.027e-03 2.690e-05
   19953 1.292e-03 1.419e-03 1.326e-03 2.939e-05
   25119 1.665e-03 1.798e-03 1.706e-03 3.253e-05
   31623 2.154e-03 2.317e-03 2.206e-03 3.697e-05
   39811 2.777e-03 3.028e-03 2.855e-03 5.437e-05
   50119 3.586e-03 3.894e-03 3.680e-03 6.423e-05
   63096 4.657e-03 5.011e-03 4.758e-03 8.005e-05
   79433 6.017e-03 6.506e-03 6.171e-03 1.054e-04
  100000 7.800e-03 8.260e-03 7.938e-03 9.644e-05
  125893 1.013e-02 1.069e-02 1.030e-02 1.160e-04
  158489 1.318e-02 1.415e-02 1.341e-02 1.997e-04
  199526 1.710e-02 1.863e-02 1.747e-02 3.434e-04
  251189 2.217e-02 2.364e-02 2.250e-02 2.981e-04
  316228 2.849e-02 3.025e-02 2.894e-02 3.801e-04
  398107 3.710e-02 3.893e-02 3.766e-02 4.505e-04
  501187 4.799e-02 5.119e-02 4.875e-02 7.071e-04
